typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","392","JPN","Japan","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","8","kg","50","false","50","false","0","false","3453","3357","3453","0","false","true",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","752","SWE","Sweden","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18000","false","8","kg","18000","false","18000","false","0","false","77379","75170","77379","0","false","true",
"C","A","20040101","2004","52","2004","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","333.545","true","8","kg","186","false","333.545","true","0","false","11796","11356","11796","6","false","true",
"C","A","20040101","2004","52","2004","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1026","false","8","kg","1026","false","1026","false","0","false","2442","0","2442","0","false","true",
"C","A","20040101","2004","52","2004","84","BLZ","Belize","M","Import","842","USA","USA","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1026","false","8","kg","1026","false","1026","false","0","false","2442","0","2442","0","false","true",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19270","false","-1","N/A",,"false","19270","false",,"false","5740",,"5740","0","true","false",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","156","CHN","China","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42","false","-1","N/A",,"false","42","false",,"false","172",,"172","0","true","false",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","458","MYS","Malaysia","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19200","false","-1","N/A",,"false","19200","false",,"false","4763",,"4763","0","true","false",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","702","SGP","Singapore","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","11",,"11","0","true","false",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","826","GBR","United Kingdom","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","-1","N/A",,"false","25","false",,"false","789",,"789","0","true","false",
"C","A","20040101","2004","52","2004","96","BRN","Brunei Darussalam","M","Import","842","USA","USA","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","6",,"6","0","true","false",
"C","A","20040101","2004","52","2004","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2502","false","-1","N/A",,"false","2502","false",,"false","1665",,"1665","0","true","false",
"C","A","20040101","2004","52","2004","100","BGR","Bulgaria","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","104",,"104","0","true","false",
"C","A","20040101","2004","52","2004","100","BGR","Bulgaria","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2500","false","-1","N/A",,"false","2500","false",,"false","1561",,"1561","0","true","false",
"C","A","20040101","2004","52","2004","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1116","false","-1","N/A",,"false","1116","false",,"false","2100",,"2100","0","true","false",
"C","A","20040101","2004","52","2004","112","BLR","Belarus","M","Import","643","RUS","Russian Federation","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1116","false","-1","N/A",,"false","1116","false",,"false","2100",,"2100","0","true","false",
"C","A","20040101","2004","52","2004","116","KHM","Cambodia","M","Import","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5000","false","-1","N/A",,"false","5000","false",,"false","251",,"251","0","true","false",
"C","A","20040101","2004","52","2004","116","KHM","Cambodia","M","Import","704","VNM","Viet Nam","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5000","false","-1","N/A",,"false","5000","false",,"false","251",,"251","0","true","false",
"C","A","20040101","2004","52","2004","120","CMR","Cameroon","M","Import","0","W00","World","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","-1","N/A",,"false","3","false",,"false","272",,"272","0","false","false",
"C","A","20040101","2004","52","2004","120","CMR","Cameroon","M","Import","757","CHE","Switzerland","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","195",,"195","0","false","false",
"C","A","20040101","2004","52","2004","120","CMR","Cameroon","M","Import","826","GBR","United Kingdom","0","W00","World","H1","HS","true","280519","Alkali metals; other than sodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","77",,"77","0","false","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","-1","N/A",,"false","11","false",,"false",,"1035","1035","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","X","Export","458","MYS","Malaysia","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","-1","N/A",,"false","10","false",,"false",,"981","981","0","true","false",
"C","A","20040101","2004","52","2004","36","AUS","Australia","X","Export","554","NZL","New Zealand","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false",,"54","54","0","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9689","true","-1","N/A",,"false","9689","true",,"false",,"17567","17567","6","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","X","Export","70","BIH","Bosnia Herzegovina","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32","true","-1","N/A",,"false","32","true",,"false",,"57","57","6","true","false",
"C","A","20040101","2004","52","2004","40","AUT","Austria","X","Export","251","FRA","France","0","W00","World","H2","HS","true","280519","Alkali or alkali-earth metals; other than sodium and calcium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","206","true","-1","N/A",,"false","206","true",,"false",,"373","373","6","true","false",
